ts_utc,symbol,market_state,mid,spread_bps,buy_slip_bps_1000,buy_slip_bps_5000,buy_slip_bps_10000,buy_slip_bps_25000,buy_slip_bps_50000,buy_slip_bps_100000,sell_slip_bps_1000,sell_slip_bps_5000,sell_slip_bps_10000,sell_slip_bps_25000,sell_slip_bps_50000,sell_slip_bps_100000,buy_fillable_1000,buy_fillable_5000,buy_fillable_10000,buy_fillable_25000,buy_fillable_50000,buy_fillable_100000,sell_fillable_1000,sell_fillable_5000,sell_fillable_10000,sell_fillable_25000,sell_fillable_50000,sell_fillable_100000
2026-09-23T13:21:58.107277+00:00,RQQQUSDT,after_hours_weekday,746.27,5.091990834416436,2.5459954172089807,2.5459954172089807,2.5459954172089807,2.5459954172089807,2.7055726363021155,3.3121476916604755,2.5459954172074566,2.5459954172074566,2.5459954172074566,3.4187807197091136,4.245283795533475,5.38176115191451,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RSPYUSDT,after_hours_weekday,772.755,6.858577427515483,3.4292887137577415,3.4292887137577415,3.4292887137577415,3.474433094430412,3.866454265596493,5.001876554266582,3.4292887137577415,3.4292887137577415,3.4292887137577415,3.5323436922114118,3.824134052409208,4.560443456974642,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RMUUSDT,after_hours_weekday,1091.855,2.1065068163814624,2.8030709702474863,3.674561809677804,3.7835088421458107,3.900992968351388,4.8583001465757185,5.7120274602575485,2.8995236018501203,3.5473422084770534,3.6283136310482624,3.6768958549571487,3.9988738170150175,4.633603450832851,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RVOOUSDT,after_hours_weekday,712.1800000000001,8.144008537168144,4.374899411576663,6.15603878681588,13.354339578898674,21.269070921505975,31.54638161930211,55.38860063750031,4.535770396824998,7.87677484586358,11.622032723258581,15.856050608115256,23.8876403736881,44.01913839766901,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RNVDAUSDT,after_hours_weekday,227.82,2.6336581511720776,2.9099091821654124,3.391211408002771,3.451377442907699,3.6849795589363685,4.365399043933355,5.806138268445558,5.6679569214043894,6.752091506342927,6.8875917919813405,6.968890199598833,6.995989374849601,7.474761696163627,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RMETAUSDT,after_hours_weekday,739.99,8.648765523858247,4.324382761928355,4.324382761928355,4.502071318843683,5.449216546297409,6.6511497628128025,10.474169907025253,4.324382761929891,4.324382761929891,4.442315449684652,5.116856933319122,5.9873199711184215,9.382398503181033,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RSNDKUSDT,after_hours_weekday,1880.56,1.701620793805762,4.57182714677241,5.891562727149259,6.056554156593228,6.1555516260750585,6.711491843198483,7.511695151326495,2.4988897493783333,3.137300371861975,3.217095966858,3.264972712402321,3.2809315256793528,3.4555337610953996,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RAMDUSDT,after_hours_weekday,618.76,10.343267179520112,6.208239194006951,12.84832306041779,15.777826415361723,27.23932380153142,44.67649040675446,78.61306315888598,7.050846858102723,14.69996455385564,22.45231523005966,38.593747808760114,57.759816599776165,87.95351598475071,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RINTCUSDT,after_hours_weekday,122.935,25.216577866352324,17.26215863980317,28.26731448872041,37.51147040381921,52.25640696343929,75.0366308835077,107.385199855645,14.209901929994377,24.699199447691363,28.147237356766812,42.52458244097514,62.43407266137941,102.42199410528433,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RAAPLUSDT,after_hours_weekday,342.695,6.711507317002529,5.148780367014523,14.463067008092462,22.764417619414164,36.05228958301574,58.37587526871186,88.50435810559823,5.264433799799328,12.613485602962374,16.00282930757596,28.78747548979542,49.3504747627352,86.80653951879675,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RTSLAUSDT,after_hours_weekday,378.53,1.5850791218662266,2.9187931994083915,3.753899453275996,3.858297539472045,4.008218049886355,4.296818865173048,5.33257707526521,0.7925395609323624,0.7925395609323624,0.7925395609323624,0.7925395609323624,2.301258219553764,4.220658304536707,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RGOOGLUSDT,after_hours_weekday,350.23,7.994746309568842,3.9973731547836096,3.9973731547836096,3.9973731547836096,4.13250168232162,5.098086827531732,6.578208297940275,3.9973731547852323,3.9973731547852323,3.9973731547852323,4.0721696565507814,4.265291813556376,6.782110915332985,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-23T13:21:58.107277+00:00,RAMZNUSDT,after_hours_weekday,254.47,5.501630840570061,5.953788107860993,18.673241305841046,25.34201896420617,44.252185291002114,66.45893029776697,132.71890355214308,3.4727953572218246,21.89527991004096,27.982285999929243,39.69709536456183,58.09151797613839,101.37226452258102,True,True,True,True,True,True,True,True,True,True,True,True
